name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
california,2019-06-29,85.2,56.5,70.3,82.4,56.5,69.7,48.5,50.5,0,0,0,,0,0,,10.6,191.7,1015.3,6,9.9,385.5,33.3,10,,2019-06-29T05:44:27,2019-06-29T20:34:21,0.9,Clear,Clear conditions throughout the day.,clear-day,"KSMF,TS389,72483023232,72483993225,AN063,72483323206,KSAC,72057600174"
california,2019-06-30,88.2,59.7,71.8,84.8,59.7,71.1,50.2,50.6,0,0,0,,0,0,20.8,13.7,206,1014.8,5,9.9,421.7,36.6,10,,2019-06-30T05:44:53,2019-06-30T20:34:18,0.93,Clear,Clear conditions throughout the day.,clear-day,"KSMF,TS389,72483023232,72483993225,AN063,72483323206,KSAC,72057600174"
california,2019-07-01,86.3,55.9,69.9,84.5,55.9,69.5,52.9,58.5,0,0,0,,0,0,,11.3,193.9,1014.6,7,9.9,406.4,35,10,,2019-07-01T05:45:20,2019-07-01T20:34:13,0.97,Clear,Clear conditions throughout the day.,clear-day,"KSMF,TS389,72483023232,72483993225,AN063,72483323206,KSAC,72057600174"
california,2019-07-02,85.8,58.8,71.7,83.9,58.8,71.4,53.5,55,0,0,0,,0,0,17.2,12.8,202,1012.3,5.1,9.9,409.4,35.4,10,,2019-07-02T05:45:49,2019-07-02T20:34:06,0,Clear,Clear conditions throughout the day.,clear-day,"KSMF,TS389,72483023232,72483993225,AN063,72483323206,KSAC,72057600174"
california,2019-07-03,87.4,58.9,71.6,85.8,58.9,71.2,54.2,57.3,0,0,0,,0,0,19.7,13.4,195.8,1010.5,1.9,9.9,406.6,35.1,10,,2019-07-03T05:46:19,2019-07-03T20:33:57,0.04,Clear,Clear conditions throughout the day.,clear-day,"KSMF,TS389,72483023232,72483993225,AN063,72483323206,KSAC,72057600174"
california,2019-07-04,91.1,57.3,72.7,89.1,57.3,72.2,55,58.2,0,0,0,,0,0,,9.6,202.1,1011.2,1.9,9.9,405.8,35.1,10,,2019-07-04T05:46:50,2019-07-04T20:33:46,0.07,Clear,Clear conditions throughout the day.,clear-day,"KSMF,TS389,72483023232,72483993225,AN063,72483323206,KSAC"
california,2019-07-05,93,60.8,74.8,92.3,60.8,74.3,55.2,53.9,0,0,0,,0,0,,10.7,200.7,1012.9,0.2,9.9,402.5,34.7,10,,2019-07-05T05:47:23,2019-07-05T20:33:34,0.11,Clear,Clear conditions throughout the day.,clear-day,"KSMF,TS389,72483023232,72483993225,AN063,72483323206,KSAC"
california,2019-07-06,91.1,60.1,73.8,89.6,60.1,73.4,54.1,53,0,0,0,,0,0,,9.8,193.2,1012.6,5.6,9.9,387.6,33.4,10,,2019-07-06T05:47:56,2019-07-06T20:33:19,0.14,Clear,Clear conditions throughout the day.,clear-day,"KSMF,TS389,72483023232,72483993225,72483323206,AN063,KSAC"
california,2019-07-07,83.6,60,69.6,82.4,60,69.4,52.6,56.5,0,0,0,,0,0,21.9,13.5,189.5,1010.6,8.7,9.9,379,32.8,10,,2019-07-07T05:48:31,2019-07-07T20:33:03,0.18,Clear,Clear conditions throughout the day.,clear-day,"E9060,KSMF,TS389,72483023232,72483993225,AN063,72483323206,KSAC"
california,2019-07-08,79.4,56.5,66.1,79.4,56.5,66.1,53.3,65.5,0,0,0,,0,0,25.3,14.8,195.1,1012.8,18.3,9.9,398.4,34.5,10,,2019-07-08T05:49:08,2019-07-08T20:32:45,0.21,Clear,Clear conditions throughout the day.,clear-day,"KSMF,TS389,72483023232,72483993225,AN063,72483323206,KSAC"
california,2019-07-09,84.1,55.9,68.1,83.1,55.9,68,55.1,66.1,0,0,0,,0,0,20.8,14,191.6,1014.9,9.6,9.9,389.3,33.7,10,,2019-07-09T05:49:45,2019-07-09T20:32:24,0.25,Clear,Clear conditions throughout the day.,clear-day,"KSMF,TS389,72483023232,72483993225,72483323206,AN063,KSAC"
